x,y
-16.575005,-24.568022
38.201717,-24.899347
0.54421794,-10.299942
20.908146,47.84756
-14.670962,-3.5673401
15.806151,43.744843
-6.1474247,-20.654226
-19.292564,22.16129
22.73188,47.967503
9.933848,14.000605
3.6568162,3.9571078
45.484608,-31.084639
-3.2722607,11.484101
7.6116295,-16.845448
-9.42578,-20.206337
-8.432625,3.6669855
-11.123589,-29.723536
-8.3787775,-24.246763
-1.2276635,4.205287
-5.0299516,-27.001139
35.108063,-20.770802
19.388079,49.548306
-13.990291,-12.354638
10.742814,33.152733
44.545612,-29.929764
8.222581,-12.469951
34.251404,-18.89816
3.8498275,-15.400282
10.663987,32.62249
6.902073,-14.953388
-14.385604,-21.785881
-20.603014,20.382687
-46.6582,-2.8276298
19.248272,49.303493
-2.2876744,12.90808
-10.766811,7.8524594
47.930225,-32.693756
-13.283576,-21.891983
-0.60230225,7.3575935
45.543762,-30.980862
43.27326,-30.005613
22.42236,-4.424955
-0.10679947,-0.015352411
4.022756,-14.909762
-49.41186,14.452798
1.8932694,7.2470274
-10.973893,6.528081
1.3007517,-1.637873
18.59035,-9.984192
16.532846,-10.065235
-9.739106,0.44218114
16.22541,-5.7291646
-2.7621982,5.562015
-46.69787,-4.4221325
-43.748116,-4.226048
-5.0311685,11.6652355
22.196526,5.5722575
-2.6020157,-4.288349
-12.533662,-15.891792
-9.848894,-27.377522
-50.406178,-2.190704
23.778435,3.6615667
0.92840046,13.174942
-0.9744271,1.7581619
3.0707788,13.0280075
45.121128,-26.54164
-12.855068,-22.331331
-46.911587,6.7628245
-13.885511,-14.053478
17.26959,46.157604
11.728449,15.937981
-10.440622,-19.114578
1.4420561,8.676552
0.9165825,16.086678
-6.687132,-18.875015
-11.568529,-19.637703
-3.3083696,-25.144848
-12.664304,-8.003261
4.544617,-4.833536
17.817654,10.3370905
-0.12133623,15.909414
39.412254,-25.42012
-19.508902,-20.829868
-44.551865,8.9376955
-7.75919,-24.846298
-1.4505091,-3.521159
-19.915775,21.373037
4.704039,-20.16012
16.05871,45.021595
-11.927559,7.852723
-1.3365366,18.650705
16.475409,45.03148
-9.006331,-23.743372
-7.112098,-0.80872893
15.403508,-4.36295
