Gene,RSP_Area,RMSD,Deviation_Score
Pcna,1.873445044467247,0.7722279966926582,2.2023529487098092
Pdap1,1.6762197704266497,0.7304500834030526,2.3075714950023176
Pdcd5,1.8093310960092766,0.7588991864796708,2.2275361822981234
Pdia3,1.886257633463011,0.7748641510748302,2.1978793576163027
Pdia6,1.5531185264086051,0.70311662003615,2.3934273711222396
Pdlim1,1.9325265282144375,0.7843100785040913,2.1468929240984647
Pdlim3,1.8442242006566318,0.7661819597252371,2.225149295457839
Pebp1,1.490308755135509,0.6887525028817614,2.408282921250381
Pfdn1,1.9216178518245555,0.7820933190502362,2.1725243913096848
Pfdn5,1.6892074326749853,0.7332744545090792,2.315321115845982
Pfn1,1.1473669767294836,0.6043328981395948,2.7524898683457617
Pgls,1.7813750436414946,0.753013470923442,2.255085653899847
Phb2,1.7807173649916406,0.7528744528644791,2.2448278959894923
Phf5a,1.8122035106171497,0.7595013450984869,2.233480854839007
Phgdh,1.9441904887832075,0.7866734094935401,2.1531071673059663
Pkm,1.054111826465617,0.5792531532130475,2.8227003847005117
Plac8,1.524882549963492,0.6966959099367009,2.3087944949878016
Polr1d,1.8948002409827525,0.7766167967847715,2.1858673555401547
Polr2e,1.950348799884634,0.7879183361935237,2.153660140346992
Polr2f,1.9239739587034541,0.782572636766373,2.173142093654074
Polr2j,1.927895376462061,0.7833697453028774,2.1707125398699345
Polr2m,1.8778312657819327,0.7731314613203957,2.1916142647080794
Pomp,1.522178093862371,0.696077823097957,2.39872656708354
Postn,1.6820339455998778,0.7317158149043722,2.3202212596362446
Ppia,0.6214609037712847,0.44476639885125463,3.363496593918221
Ppib,1.8276465307695742,0.7627305941113566,2.225854578644236
Ppid,1.9341582013032488,0.784641113451419,2.1654105784415156
Ppp1ca,1.346720658412552,0.6547323876979503,2.5470909497112895
Prdx1,0.9183684528721572,0.5406715802670973,3.0210376473551643
Prdx2,1.2686247940581532,0.6354650374383988,2.5950302308639874
Prdx4,1.8187639114287864,0.7608748475551567,2.227940035979045
Prdx6,1.684975995458362,0.7323554583238734,2.2877122456916013
Prelid1,1.664200809663025,0.7278266073116658,2.3306275431747117
Prkar1a,1.8302153043643117,0.7632664182472827,2.22763668742322
Prmt1,1.740206541456127,0.7442613426392558,2.268205018581502
Prpf19,1.927325118989141,0.7832538791889857,2.1643822486507043
Psap,1.8640881256298318,0.7702971368931522,2.2414220460411354
Psma1,1.4509582868177602,0.6795986809392651,2.4526103342155547
Psma2,1.4594267614774905,0.6815790242807346,2.4417687252562716
Psma3,1.740725288208662,0.7443722646411172,2.2700661289622666
Psma4,1.8316601924751144,0.76356764428185,2.2194662852462312
Psma5,1.8317154101549975,0.7635791535443675,2.2215894699988894
Psma6,1.5914397835597667,0.7117380251000124,2.352642989584467
Psma7,1.051502631869936,0.5785358096716882,2.8196610360382404
Psmb1,1.3960605302886557,0.6666182329503629,2.4984510203960433
Psmb2,1.6491040774714378,0.7245178612050627,2.326680440368626
